ref,site,height,age,lat,lon,pallat,pallong,D47,D47_sigma,SST,SST_error,organism,species,correction,scale,calibration,doi,notes
Peterson (2016) Geo,Western Interior Seaway,CC-RIP-TURa,70,35.33,-88.43,39.54516,-67.242704,0.73,0.002,13.1,0.6,mollusks,Turritella paravertebroide,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,OC-RIP-EXOa,70,35.12,-88.41,39.335631,-67.270609,0.712,0.011,19.2,3.7,mollusks,Exogyra costata,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,OC-RIP-EXOb,70,35.12,-88.41,39.335631,-67.270609,0.739,0.006,10.3,1.9,mollusks,Exogyra costata,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Gilbert (2016),"Calvert Cliffs, MD",Ah_2,12.9,38,-76,39.431916,-71.938261,0.759,0.019,2.5,4.4,bivalve,Atrina harrisii,,Absolute (Dennis 2011),Henkes 2013,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),"Calvert Cliffs, MD",Ps_3_2,12.9,38,-76,39.431916,-71.938261,0.705,0.024,21.6,3.3,bivalve,Atrina harrisii,,Absolute (Dennis 2011),Henkes 2014,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),"Calvert Cliffs, MD",Ps_4_2,12.9,38,-76,39.431916,-71.938261,0.732,0.01,11.5,2.5,bivalve,Atrina harrisii,,Absolute (Dennis 2011),Henkes 2015,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Alabama,Ps_1_2,53,31,-86,34.724099,-71.342553,0.706,0.021,21.3,4.8,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2016,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Alabama,Ps_2_2,53,31,-86,34.724099,-71.342553,0.721,0.018,15.5,4.5,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2017,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Mississippi,Ps_5_2_a,65.75,34,-89,38.657356,-70.632595,0.692,0.028,26.7,4.1,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2018,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Mississippi,Ps_6_2_a,65.75,34,-89,38.657356,-70.632595,0.702,0.012,22.9,3.4,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2019,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Mississippi,Ps_5_2_c,65.75,34,-89,38.657356,-70.632595,0.7,0.025,23.6,3.4,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2020,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Mississippi,Ps_6_2_c,65.75,34,-89,38.657356,-70.632595,0.718,0.002,16.6,1,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2021,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Leutert (2019),1408,,43.432,41.43,-49.8,40.570882,-36.438425,,,24.7,1.5,planktic foraminfera,Acarinina bullbrooki,Brand,Absolute,Kele 2015,https://doi.org/10.1016/j.gca.2019.05.005,Better preservation
Leutert (2019),1409,,43.432,41.3,-49.2,40.387489,-35.871365,,,23.6,1.4,planktic foraminfera,Acarinina bullbrooki,Brand,Absolute,Kele 2015,https://doi.org/10.1016/j.gca.2019.05.005,Better preservation
Leutert (2019),1410,,43.432,41.3,-49.2,40.387489,-35.871365,,,26.4,1.3,planktic foraminfera,Acarinina bullbrooki,Brand,Absolute,Kele 2015,https://doi.org/10.1016/j.gca.2019.05.005,Better preservation
de Winter (2018),Bajada de Jagull,,68,-38.10291667,-68.38902778,-38.249783,-53.343133,0.699,0.007,23.8,2.5,Mollusc,P. vesicularis,G/S,Absolute,Defliese et al. (2015),https://doi.org/10.5194/cp-14-725-2018,Ventral margin
de Winter (2018),Bajada de Jagull,,68,-38.10291667,-68.38902778,-38.249783,-53.343133,0.707,0.012,21.3,4,Mollusc,P. vesicularis,G/S,Absolute,Defliese et al. (2015),https://doi.org/10.5194/cp-14-725-2018,Ventral margin
de Winter (2018),Bajada de Jagull,,68,-38.10291667,-68.38902778,-38.249783,-53.343133,0.696,0.022,25.4,7.7,Mollusc,P. vesicularis,G/S,Absolute,Defliese et al. (2015),https://doi.org/10.5194/cp-14-725-2018,Ventral margin
Douglas (2014),Seymour Island,0153C1,37.4,-64.24,-56.64,-61.728489,-59.745029,0.761,0.019,12,3.7,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2013,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0153C4,37.4,-64.24,-56.64,-61.728489,-59.745029,0.768,0.011,10.6,1.9,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2014,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0199C1,37.5,-64.24,-56.64,-61.767349,-59.723374,0.751,0.009,14.1,1.7,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2015,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0143C1,42,-64.24,-56.64,-61.767349,-59.723374,0.758,0.011,12.7,3.7,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2016,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0143C3,42,-64.24,-56.64,-61.767349,-59.723374,0.759,0.011,12.6,2.2,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2017,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,06311C1,44,-64.24,-56.64,-61.842721,-58.943687,0.758,0.011,12.8,2.3,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2018,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0104C1,45,-64.24,-56.64,-61.842721,-58.943687,0.72,0.011,21,1.9,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2019,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0104C3,45,-64.24,-56.64,-61.842721,-58.943687,0.746,0.011,14.3,2.2,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2020,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0104C2,45,-64.24,-56.64,-61.842721,-58.943687,0.751,0.009,15.3,2.9,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2021,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.82E+32,34,-64.24,-56.64,-61.728489,-59.745029,0.739,0.01,16.9,1.8,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2022,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.59E+33,34,-64.24,-56.64,-61.728489,-59.745029,0.765,0.011,13,2,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2023,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.59E+32,34,-64.24,-56.64,-61.728489,-59.745029,0.775,0.013,9.2,3.1,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2024,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.53E+07,37.4,-64.24,-56.64,-61.728489,-59.745029,0.76,0.011,12.2,0.8,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2025,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.99E+04,37.5,-64.24,-56.64,-61.767349,-59.723374,0.758,0.013,12.7,1.2,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2026,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.99E+07,37.5,-64.24,-56.64,-61.767349,-59.723374,0.751,0.011,14.3,0.9,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2027,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.63E+03,40.5,-64.24,-56.64,-61.767349,-59.723374,0.765,0.011,11.3,4.3,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2028,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.63E+05,40.5,-64.24,-56.64,-61.767349,-59.723374,0.749,0.019,14.6,3.2,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2029,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.08E+04,41,-64.24,-56.64,-61.767349,-59.723374,0.754,0.011,13.6,2.2,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2030,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.08E+07,41,-64.24,-56.64,-61.767349,-59.723374,0.767,0.011,10.9,2.1,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2031,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.43E+05,42,-64.24,-56.64,-61.767349,-59.723374,0.739,0.009,16.7,1.8,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2032,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.43E+07,42,-64.24,-56.64,-61.767349,-59.723374,0.75,0.013,14.4,0.8,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2033,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.24E+06,44,-64.24,-56.64,-61.842721,-58.943687,0.746,0.011,15.2,2.8,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2034,https://doi.org/10.1073/pnas.1321441111,
Meyer (2018),PeeDee,BF-PD-ANOa,71.38,34.06439,-79.52852,36.958431,-58.375193,0.731,0.01,13.4,3.3,mollusc,Anomia sp. ,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.017,
Meyer (2018),PeeDee,BF-PD-BELa,71.38,34.06439,-79.52852,36.958431,-58.375193,0.742,0.02,10.3,5.9,mollusc,Belemnitella americana,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.018,
Meyer (2018),PeeDee,BF-PD-BELb,71.38,34.06439,-79.52852,36.958431,-58.375193,0.727,0.013,14.9,4.3,mollusc,Belemnitella americana,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.019,
Meyer (2018),PeeDee,BF-PD-BELc,71.38,34.06439,-79.52852,36.958431,-58.375193,0.708,0.008,20.8,2.6,mollusc,Belemnitella americana,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.020,
Meyer (2018),PeeDee,BF-PD-EXOa,71.38,34.06439,-79.52852,36.958431,-58.375193,0.716,0.013,18.2,4.3,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.021,
Meyer (2018),PeeDee,BF-PD-EXOb,71.38,34.06439,-79.52852,36.958431,-58.375193,0.733,0.004,12.7,1.2,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.022,
Meyer (2018),PeeDee,BF-PD-EXOc,71.38,34.06439,-79.52852,36.958431,-58.375193,0.744,0.014,9.6,3.9,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.023,
Meyer (2018),PeeDee,BF-PD-EXOd,71.38,34.06439,-79.52852,36.958431,-58.375193,0.726,0.011,15.1,3.6,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.024,
Meyer (2018),PeeDee,BF-PD-EXOe,71.38,34.06439,-79.52852,36.958431,-58.375193,0.721,0.008,16.7,2.6,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.025,
Meyer (2018),Clayton,ML-CLA-OSTa,65,32.42992,-88.03679,36.98245,-69.92869,0.718,0.016,17,5.4,mollusc,Ostrea pulaskensis,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.026,
Meyer (2018),Clayton,ML-CLA-OSTb,65,32.42992,-88.03679,36.98245,-69.92869,0.724,0.007,15,2.4,mollusc,Ostrea pulaskensis,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.027,
Meyer (2018),Clayton,ML-CLA-OSTc,65,32.42992,-88.03679,36.98245,-69.92869,0.72,0.00902518,16.6,3,mollusc,Ostrea pulaskensis,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.028,
Meyer (2018),Clayton,ML-CLA-OSTd,65,32.42992,-88.03679,36.98245,-69.92869,0.715,0.005,18.2,1.6,mollusc,Ostrea pulaskensis,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.029,
Meyer (2018),Prairie Bluff,MC-PRB-EXOa,69.45,32.38778,-87.92324,36.574846,-67.375273,0.703,0.005,22.2,1.8,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.030,
Meyer (2018),Prairie Bluff,MC-PRB-EXOb,69.45,32.38778,-87.92324,36.574846,-67.375273,0.701,0.004,22.9,1.3,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.031,
Meyer (2018),Prairie Bluff,ML-PRB-EXOa,69.45,32.42992,-88.03679,36.632946,-67.483798,0.725,0.021,15.4,7,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.032,
Meyer (2018),Prairie Bluff,ML-PRB-EXOb,69.45,32.42992,-88.03679,36.632946,-67.483798,0.697,0.011,24.4,3.8,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.033,
Meyer (2018),Prairie Bluff,ML-PRB-EXOc,69.45,32.42992,-88.03679,36.632946,-67.483798,0.727,0.011,14.4,3.6,mollusc,Exogyra costata,G/S,Absolute (Dennis 2011),Defliese 2015,https://doi.org/10.1016/j.cretres.2018.03.034,
